OG_name	AT_prot	HV_OrthoMCL	TA_OrthoMCL	
OG6.0_1000	1	31	27	
OG6.0_1001	1	12	24	
OG6.0_1002	1	14	6	
OG6.0_1003	0	12	7	
OG6.0_1004	1	9	9	
OG6.0_1005	1	11	6	
OG6.0_1006	3	5	9	
OG6.0_1007	3	5	8	
OG6.0_1008	3	12	1	
OG6.0_1009	1	5	8	
OG6.0_1010	0	9	4	
OG6.0_1011	1	5	7	
OG6.0_1012	0	11	2	
OG6.0_1013	3	3	6	
OG6.0_1014	1	5	6	
OG6.0_1015	1	6	5	
OG6.0_1016	1	5	5	
OG6.0_1017	1	4	6	
OG6.0_1018	1	6	4	
OG6.0_1019	1	5	5	
OG6.0_1020	1	6	4	
OG6.0_1021	1	4	6	
OG6.0_1022	1	6	4	
OG6.0_1023	0	11	0	
OG6.0_1024	0	8	2	
OG6.0_1025	0	0	10	
OG6.0_1026	0	8	1	
OG6.0_1027	0	9	0	
OG6.0_1028	1	5	3	
OG6.0_1029	0	5	4	
OG6.0_1030	1	5	3	
OG6.0_1031	0	6	3	
OG6.0_1032	0	9	0	
OG6.0_1033	1	1	7	
OG6.0_1034	2	4	2	
OG6.0_1035	1	4	3	
OG6.0_1036	1	4	3	
OG6.0_1037	0	5	3	
OG6.0_1038	0	5	3	
OG6.0_1039	1	4	3	
OG6.0_1040	1	4	3	
OG6.0_1041	1	4	3	
OG6.0_1042	1	3	4	
OG6.0_1043	0	0	8	
OG6.0_1044	2	4	1	
OG6.0_1045	2	3	2	
OG6.0_1046	2	2	3	
OG6.0_1047	1	3	3	
OG6.0_1048	0	4	3	
OG6.0_1049	0	4	3	
OG6.0_1050	1	3	3	
OG6.0_1051	1	3	3	
OG6.0_1052	0	2	5	
OG6.0_1053	1	5	1	
OG6.0_1054	1	3	3	
OG6.0_1055	0	4	3	
OG6.0_1056	1	4	2	
OG6.0_1057	0	0	7	
OG6.0_1058	1	1	5	
OG6.0_1059	2	1	3	
OG6.0_1060	6	0	0	
OG6.0_1061	0	3	3	
OG6.0_1062	0	2	4	
OG6.0_1063	1	2	3	
OG6.0_1064	0	3	3	
OG6.0_1065	1	2	3	
OG6.0_1066	0	3	3	
OG6.0_1067	0	3	3	
OG6.0_1068	0	3	3	
OG6.0_1069	1	2	3	
OG6.0_1070	1	2	3	
OG6.0_1071	1	2	3	
OG6.0_1072	1	1	4	
OG6.0_1073	1	1	4	
OG6.0_1074	0	1	5	
OG6.0_1075	1	1	4	
OG6.0_1076	2	1	2	
OG6.0_1077	3	1	1	
OG6.0_1078	2	1	2	
OG6.0_1079	2	1	2	
OG6.0_1080	2	1	2	
OG6.0_1081	0	2	3	
OG6.0_1082	1	2	2	
OG6.0_1083	0	2	3	
OG6.0_1084	0	2	3	
OG6.0_1085	0	2	3	
OG6.0_1086	1	2	2	
OG6.0_1087	0	2	3	
OG6.0_1088	0	2	3	
OG6.0_1089	0	2	3	
OG6.0_1090	1	2	2	
OG6.0_1091	0	2	3	
OG6.0_1092	0	4	1	
