OG_name	AT_prot	HV_OrthoMCL	TA_OrthoMCL	
OG0.0_1000	1	31	28	
OG0.0_1001	1	12	24	
OG0.0_1002	1	12	9	
OG0.0_1003	1	14	6	
OG0.0_1004	0	12	7	
OG0.0_1005	1	9	9	
OG0.0_1006	3	5	9	
OG0.0_1007	3	5	8	
OG0.0_1008	3	12	1	
OG0.0_1009	1	5	8	
OG0.0_1010	0	9	4	
OG0.0_1011	1	5	7	
OG0.0_1012	1	5	7	
OG0.0_1013	0	11	2	
OG0.0_1014	3	3	6	
OG0.0_1015	0	12	0	
OG0.0_1016	1	6	5	
OG0.0_1017	0	8	4	
OG0.0_1018	1	5	5	
OG0.0_1019	1	4	6	
OG0.0_1020	1	6	4	
OG0.0_1021	1	5	5	
OG0.0_1022	1	6	4	
OG0.0_1023	1	4	6	
OG0.0_1024	1	6	4	
OG0.0_1025	0	11	0	
OG0.0_1026	0	8	2	
OG0.0_1027	1	4	5	
OG0.0_1028	0	0	10	
OG0.0_1029	3	3	3	
OG0.0_1030	1	5	3	
OG0.0_1031	0	8	1	
OG0.0_1032	1	5	3	
OG0.0_1033	0	5	4	
OG0.0_1034	1	5	3	
OG0.0_1035	0	6	3	
OG0.0_1036	0	9	0	
OG0.0_1037	1	5	3	
OG0.0_1038	0	0	9	
OG0.0_1039	1	1	7	
OG0.0_1040	3	2	3	
OG0.0_1041	2	4	2	
OG0.0_1042	1	4	3	
OG0.0_1043	1	4	3	
OG0.0_1044	0	5	3	
OG0.0_1045	0	5	3	
OG0.0_1046	1	4	3	
OG0.0_1047	1	4	3	
OG0.0_1048	1	3	4	
OG0.0_1049	1	4	3	
OG0.0_1050	1	3	4	
OG0.0_1051	0	0	8	
OG0.0_1052	1	1	6	
OG0.0_1053	2	4	1	
OG0.0_1054	2	3	2	
OG0.0_1055	3	0	4	
OG0.0_1056	2	2	3	
OG0.0_1057	2	2	3	
OG0.0_1058	0	4	3	
OG0.0_1059	1	3	3	
OG0.0_1060	1	3	3	
OG0.0_1061	1	5	1	
OG0.0_1062	1	3	3	
OG0.0_1063	1	4	2	
OG0.0_1064	0	0	7	
OG0.0_1065	1	1	5	
OG0.0_1066	2	1	3	
OG0.0_1067	6	0	0	
OG0.0_1068	2	0	4	
OG0.0_1069	3	1	2	
OG0.0_1070	0	3	3	
OG0.0_1071	0	2	4	
OG0.0_1072	1	2	3	
OG0.0_1073	0	3	3	
OG0.0_1074	0	6	0	
OG0.0_1075	1	2	3	
OG0.0_1076	0	3	3	
OG0.0_1077	1	4	1	
OG0.0_1078	1	3	2	
OG0.0_1079	0	3	3	
OG0.0_1080	0	3	3	
OG0.0_1081	1	2	3	
OG0.0_1082	1	2	3	
OG0.0_1083	1	2	3	
OG0.0_1084	1	1	4	
OG0.0_1085	1	1	4	
OG0.0_1086	0	1	5	
OG0.0_1087	1	1	4	
OG0.0_1088	1	1	4	
OG0.0_1089	2	1	2	
OG0.0_1090	3	1	1	
OG0.0_1091	2	1	2	
OG0.0_1092	2	1	2	
OG0.0_1093	2	1	2	
OG0.0_1094	2	1	2	
OG0.0_1095	0	2	3	
OG0.0_1096	1	2	2	
OG0.0_1097	0	2	3	
OG0.0_1098	0	2	3	
OG0.0_1099	0	2	3	
OG0.0_1100	1	2	2	
OG0.0_1101	0	2	3	
OG0.0_1102	0	2	3	
OG0.0_1103	1	2	2	
OG0.0_1104	0	2	3	
