OG_name	AT_prot	HV_OrthoMCL	TA_OrthoMCL	
OG2.5_1000	1	31	28	
OG2.5_1001	1	12	24	
OG2.5_1002	1	12	9	
OG2.5_1003	1	14	6	
OG2.5_1004	0	12	7	
OG2.5_1005	1	9	9	
OG2.5_1006	3	5	9	
OG2.5_1007	3	5	8	
OG2.5_1008	3	12	1	
OG2.5_1009	1	5	8	
OG2.5_1010	0	9	4	
OG2.5_1011	1	5	7	
OG2.5_1012	1	5	7	
OG2.5_1013	0	11	2	
OG2.5_1014	3	3	6	
OG2.5_1015	0	12	0	
OG2.5_1016	1	6	5	
OG2.5_1017	0	8	4	
OG2.5_1018	1	5	5	
OG2.5_1019	1	4	6	
OG2.5_1020	1	6	4	
OG2.5_1021	1	5	5	
OG2.5_1022	1	6	4	
OG2.5_1023	1	4	6	
OG2.5_1024	1	6	4	
OG2.5_1025	0	11	0	
OG2.5_1026	0	8	2	
OG2.5_1027	1	4	5	
OG2.5_1028	0	0	10	
OG2.5_1029	3	3	3	
OG2.5_1030	1	5	3	
OG2.5_1031	0	8	1	
OG2.5_1032	1	5	3	
OG2.5_1033	0	5	4	
OG2.5_1034	1	5	3	
OG2.5_1035	0	6	3	
OG2.5_1036	0	9	0	
OG2.5_1037	1	5	3	
OG2.5_1038	0	0	9	
OG2.5_1039	1	1	7	
OG2.5_1040	2	4	2	
OG2.5_1041	1	4	3	
OG2.5_1042	1	4	3	
OG2.5_1043	0	5	3	
OG2.5_1044	0	5	3	
OG2.5_1045	1	4	3	
OG2.5_1046	1	4	3	
OG2.5_1047	1	3	4	
OG2.5_1048	1	4	3	
OG2.5_1049	1	3	4	
OG2.5_1050	0	0	8	
OG2.5_1051	1	1	6	
OG2.5_1052	2	4	1	
OG2.5_1053	2	3	2	
OG2.5_1054	3	0	4	
OG2.5_1055	2	2	3	
OG2.5_1056	0	4	3	
OG2.5_1057	1	3	3	
OG2.5_1058	1	3	3	
OG2.5_1059	1	5	1	
OG2.5_1060	1	3	3	
OG2.5_1061	1	4	2	
OG2.5_1062	0	0	7	
OG2.5_1063	1	1	5	
OG2.5_1064	2	1	3	
OG2.5_1065	6	0	0	
OG2.5_1066	3	1	2	
OG2.5_1067	0	3	3	
OG2.5_1068	0	2	4	
OG2.5_1069	1	2	3	
OG2.5_1070	0	3	3	
OG2.5_1071	0	6	0	
OG2.5_1072	1	2	3	
OG2.5_1073	0	3	3	
OG2.5_1074	1	3	2	
OG2.5_1075	0	3	3	
OG2.5_1076	0	3	3	
OG2.5_1077	1	2	3	
OG2.5_1078	1	2	3	
OG2.5_1079	1	2	3	
OG2.5_1080	1	1	4	
OG2.5_1081	1	1	4	
OG2.5_1082	0	1	5	
OG2.5_1083	1	1	4	
OG2.5_1084	1	1	4	
OG2.5_1085	2	1	2	
OG2.5_1086	3	1	1	
OG2.5_1087	2	1	2	
OG2.5_1088	2	1	2	
OG2.5_1089	2	1	2	
OG2.5_1090	2	1	2	
OG2.5_1091	0	2	3	
OG2.5_1092	1	2	2	
OG2.5_1093	0	2	3	
OG2.5_1094	0	2	3	
OG2.5_1095	0	2	3	
OG2.5_1096	1	2	2	
OG2.5_1097	0	2	3	
OG2.5_1098	0	2	3	
OG2.5_1099	0	2	3	
OG2.5_1100	1	2	2	
OG2.5_1101	0	2	3	
OG2.5_1102	0	4	1	
OG2.5_1103	0	2	3	
OG2.5_1104	0	4	1	
OG2.5_1105	1	2	2	
OG2.5_1106	1	2	2	
OG2.5_1107	1	1	3	
OG2.5_1108	1	1	3	
OG2.5_1109	1	1	3	
OG2.5_1110	1	1	3	
OG2.5_1111	1	1	3	
OG2.5_1112	1	0	4	
OG2.5_1113	1	0	4	
OG2.5_1114	1	1	3	
OG2.5_1115	1	1	3	
OG2.5_1116	0	1	4	
OG2.5_1117	0	1	4	
OG2.5_1118	0	1	4	
OG2.5_1119	1	1	3	
OG2.5_1120	3	0	1	
OG2.5_1121	2	1	1	
OG2.5_1122	2	0	2	
OG2.5_1123	3	1	0	
OG2.5_1124	2	1	1	
OG2.5_1125	0	4	0	
OG2.5_1126	0	2	2	
OG2.5_1127	0	2	2	
OG2.5_1128	0	2	2	
OG2.5_1129	0	2	2	
OG2.5_1130	0	3	1	
OG2.5_1131	0	2	2	
OG2.5_1132	0	2	2	
OG2.5_1133	0	3	1	
OG2.5_1134	1	2	1	
OG2.5_1135	0	2	2	
OG2.5_1136	0	3	1	
OG2.5_1137	0	2	2	
OG2.5_1138	0	2	2	
OG2.5_1139	0	2	2	
OG2.5_1140	1	2	1	
OG2.5_1141	0	2	2	
OG2.5_1142	1	1	2	
OG2.5_1143	1	1	2	
OG2.5_1144	1	1	2	
OG2.5_1145	0	1	3	
OG2.5_1146	1	1	2	
OG2.5_1147	1	1	2	
OG2.5_1148	0	0	4	
OG2.5_1149	0	1	3	
OG2.5_1150	1	1	2	
OG2.5_1151	1	1	2	
OG2.5_1152	0	1	3	
OG2.5_1153	0	1	3	
OG2.5_1154	0	1	3	
OG2.5_1155	0	1	3	
OG2.5_1156	1	1	2	
OG2.5_1157	0	1	3	
OG2.5_1158	0	1	3	
OG2.5_1159	0	0	4	
OG2.5_1160	0	1	3	
OG2.5_1161	0	1	3	
OG2.5_1162	0	1	3	
OG2.5_1163	0	1	3	
OG2.5_1164	1	1	2	
OG2.5_1165	0	1	3	
OG2.5_1166	1	1	2	
OG2.5_1167	0	1	3	
OG2.5_1168	1	0	3	
OG2.5_1169	0	1	3	
OG2.5_1170	1	1	2	
OG2.5_1171	1	0	3	
OG2.5_1172	1	0	3	
OG2.5_1173	0	4	0	
OG2.5_1174	0	4	0	
OG2.5_1175	1	1	2	
OG2.5_1176	2	0	1	
OG2.5_1177	0	2	1	
OG2.5_1178	0	2	1	
OG2.5_1179	0	3	0	
OG2.5_1180	0	2	1	
OG2.5_1181	0	2	1	
OG2.5_1182	0	3	0	
OG2.5_1183	0	2	1	
OG2.5_1184	0	2	1	
OG2.5_1185	0	2	1	
OG2.5_1186	0	2	1	
OG2.5_1187	0	2	1	
OG2.5_1188	0	3	0	
OG2.5_1189	0	2	1	
OG2.5_1190	0	2	1	
OG2.5_1191	0	3	0	
OG2.5_1192	0	3	0	
OG2.5_1193	0	2	1	
OG2.5_1194	0	2	1	
OG2.5_1195	0	3	0	
OG2.5_1196	0	3	0	
OG2.5_1197	0	2	1	
OG2.5_1198	0	3	0	
OG2.5_1199	0	2	1	
OG2.5_1200	0	2	1	
OG2.5_1201	0	3	0	
OG2.5_1202	0	2	1	
OG2.5_1203	1	2	0	
OG2.5_1204	0	3	0	
OG2.5_1205	0	2	1	
OG2.5_1206	0	0	3	
