OG_name	AT_prot	HV_OrthoMCL	TA_OrthoMCL	
OG1.0_1197	0	3	0	
OG1.0_1198	0	2	1	
OG1.0_1199	0	3	0	
OG1.0_1200	0	2	1	
OG1.0_1201	0	0	3	
OG1.0_1202	0	0	3	
OG1.0_1203	0	0	3	
OG1.0_1204	0	1	2	
OG1.0_1205	0	0	3	
OG1.0_1206	0	1	2	
OG1.0_1207	0	0	3	
OG1.0_1208	0	0	3	
OG1.0_1209	0	0	3	
OG1.0_1210	0	0	3	
OG1.0_1211	0	1	2	
OG1.0_1212	0	0	3	
OG1.0_1213	0	1	2	
OG1.0_1214	0	1	2	
OG1.0_1215	0	1	2	
OG1.0_1216	0	1	2	
OG1.0_1217	0	1	2	
OG1.0_1218	0	1	2	
OG1.0_1219	0	1	2	
OG1.0_1220	0	1	2	
OG1.0_1221	0	1	2	
OG1.0_1222	0	1	2	
OG1.0_1223	0	0	3	
OG1.0_1224	0	1	2	
OG1.0_1225	0	0	3	
OG1.0_1226	0	1	2	
OG1.0_1227	0	0	3	
OG1.0_1228	0	1	2	
OG1.0_1229	0	1	2	
OG1.0_1230	0	3	0	
OG1.0_1231	0	3	0	
OG1.0_1232	1	1	1	
OG1.0_1233	1	1	1	
OG1.0_1234	1	1	1	
OG1.0_1235	1	1	1	
OG1.0_1236	1	1	1	
OG1.0_1237	1	1	1	
OG1.0_1238	2	0	0	
OG1.0_1239	2	0	0	
OG1.0_1240	2	0	0	
OG1.0_1241	2	0	0	
OG1.0_1242	0	2	0	
OG1.0_1243	0	2	0	
OG1.0_1244	0	2	0	
OG1.0_1245	0	2	0	
OG1.0_1246	0	2	0	
OG1.0_1247	0	2	0	
OG1.0_1248	0	2	0	
OG1.0_1249	0	2	0	
OG1.0_1250	0	2	0	
OG1.0_1251	0	2	0	
OG1.0_1252	0	2	0	
OG1.0_1253	0	2	0	
OG1.0_1254	0	2	0	
OG1.0_1255	0	2	0	
OG1.0_1256	0	2	0	
OG1.0_1257	0	2	0	
OG1.0_1258	0	2	0	
OG1.0_1259	0	0	2	
OG1.0_1260	0	0	2	
OG1.0_1261	0	0	2	
OG1.0_1262	0	0	2	
OG1.0_1263	0	0	2	
OG1.0_1264	0	0	2	
OG1.0_1265	0	0	2	
OG1.0_1266	0	0	2	
OG1.0_1267	0	0	2	
OG1.0_1268	0	0	2	
OG1.0_1269	0	0	2	
OG1.0_1270	0	0	2	
OG1.0_1271	0	0	2	
OG1.0_1272	0	0	2	
OG1.0_1273	0	0	2	
OG1.0_1274	0	0	2	
OG1.0_1275	0	0	2	
OG1.0_1276	0	0	2	
OG1.0_1277	0	0	2	
OG1.0_1278	0	0	2	
OG1.0_1279	0	0	2	
OG1.0_1280	0	0	2	
OG1.0_1281	0	0	2	
OG1.0_1282	0	0	2	
OG1.0_1283	0	0	2	
OG1.0_1284	0	0	2	
OG1.0_1285	0	0	2	
OG1.0_1286	0	0	2	
OG1.0_1287	0	0	2	
OG1.0_1288	0	0	2	
OG1.0_1289	0	0	2	
OG1.0_1290	0	0	2	
OG1.0_1291	0	0	2	
OG1.0_1292	0	0	2	
OG1.0_1293	0	0	2	
OG1.0_1294	1	0	1	
OG1.0_1295	1	1	0	
OG1.0_1296	0	1	1	
OG1.0_1297	0	1	1	
OG1.0_1298	0	1	1	
OG1.0_1299	0	1	1	
OG1.0_1300	0	1	1	
OG1.0_1301	0	1	1	
OG1.0_1302	0	1	1	
OG1.0_1303	0	1	1	
OG1.0_1304	0	1	1	
OG1.0_1305	0	1	1	
OG1.0_1306	0	1	1	
OG1.0_1307	0	1	1	
