OG_name	AT_prot	HV_OrthoMCL	TA_OrthoMCL	
OG5.0_1000	1	31	28	
OG5.0_1001	1	12	24	
OG5.0_1002	1	14	6	
OG5.0_1003	0	12	7	
OG5.0_1004	1	12	6	
OG5.0_1005	1	9	9	
OG5.0_1006	3	5	9	
OG5.0_1007	3	5	8	
OG5.0_1008	3	12	1	
OG5.0_1009	1	5	8	
OG5.0_1010	0	9	4	
OG5.0_1011	1	5	7	
OG5.0_1012	1	5	7	
OG5.0_1013	0	11	2	
OG5.0_1014	3	3	6	
OG5.0_1015	0	12	0	
OG5.0_1016	1	6	5	
OG5.0_1017	0	8	4	
OG5.0_1018	1	5	5	
OG5.0_1019	1	4	6	
OG5.0_1020	1	6	4	
OG5.0_1021	1	5	5	
OG5.0_1022	1	6	4	
OG5.0_1023	1	4	6	
OG5.0_1024	1	6	4	
OG5.0_1025	0	11	0	
OG5.0_1026	0	8	2	
OG5.0_1027	1	4	5	
OG5.0_1028	0	0	10	
OG5.0_1029	3	3	3	
OG5.0_1030	0	8	1	
OG5.0_1031	1	5	3	
OG5.0_1032	0	5	4	
OG5.0_1033	1	5	3	
OG5.0_1034	0	6	3	
OG5.0_1035	0	9	0	
OG5.0_1036	1	5	3	
OG5.0_1037	1	1	7	
OG5.0_1038	2	4	2	
OG5.0_1039	1	4	3	
OG5.0_1040	1	4	3	
OG5.0_1041	0	5	3	
OG5.0_1042	0	5	3	
OG5.0_1043	1	4	3	
OG5.0_1044	1	4	3	
OG5.0_1045	1	4	3	
OG5.0_1046	1	3	4	
OG5.0_1047	0	0	8	
OG5.0_1048	2	4	1	
OG5.0_1049	2	3	2	
OG5.0_1050	2	2	3	
OG5.0_1051	0	4	3	
OG5.0_1052	0	4	3	
OG5.0_1053	1	3	3	
OG5.0_1054	1	3	3	
OG5.0_1055	1	5	1	
OG5.0_1056	1	3	3	
OG5.0_1057	1	4	2	
OG5.0_1058	0	0	7	
OG5.0_1059	1	1	5	
OG5.0_1060	2	1	3	
OG5.0_1061	6	0	0	
OG5.0_1062	0	3	3	
OG5.0_1063	0	2	4	
OG5.0_1064	1	2	3	
