OG_name	AT_prot	HV_OrthoMCL	TA_OrthoMCL	
OG4.5_1000	1	31	28	
OG4.5_1001	1	12	24	
OG4.5_1002	1	12	9	
OG4.5_1003	1	14	6	
OG4.5_1004	0	12	7	
OG4.5_1005	1	9	9	
OG4.5_1006	3	5	9	
OG4.5_1007	3	5	8	
OG4.5_1008	3	12	1	
OG4.5_1009	1	5	8	
OG4.5_1010	0	9	4	
OG4.5_1011	1	5	7	
OG4.5_1012	1	5	7	
OG4.5_1013	0	11	2	
OG4.5_1014	3	3	6	
OG4.5_1015	0	12	0	
OG4.5_1016	1	6	5	
OG4.5_1017	0	8	4	
OG4.5_1018	1	5	5	
OG4.5_1019	1	4	6	
OG4.5_1020	1	6	4	
OG4.5_1021	1	5	5	
OG4.5_1022	1	6	4	
OG4.5_1023	1	4	6	
OG4.5_1024	1	6	4	
OG4.5_1025	0	11	0	
OG4.5_1026	0	8	2	
OG4.5_1027	1	4	5	
OG4.5_1028	0	0	10	
OG4.5_1029	3	3	3	
OG4.5_1030	0	8	1	
OG4.5_1031	1	5	3	
OG4.5_1032	0	5	4	
OG4.5_1033	1	5	3	
OG4.5_1034	0	6	3	
OG4.5_1035	0	9	0	
OG4.5_1036	1	5	3	
OG4.5_1037	1	1	7	
OG4.5_1038	2	4	2	
OG4.5_1039	1	4	3	
OG4.5_1040	1	4	3	
OG4.5_1041	0	5	3	
OG4.5_1042	0	5	3	
OG4.5_1043	1	4	3	
OG4.5_1044	1	4	3	
OG4.5_1045	1	4	3	
OG4.5_1046	1	3	4	
OG4.5_1047	0	0	8	
OG4.5_1048	2	4	1	
OG4.5_1049	2	3	2	
OG4.5_1050	2	2	3	
OG4.5_1051	0	4	3	
OG4.5_1052	0	4	3	
OG4.5_1053	1	3	3	
OG4.5_1054	1	3	3	
OG4.5_1055	1	5	1	
OG4.5_1056	1	3	3	
OG4.5_1057	1	4	2	
OG4.5_1058	0	0	7	
OG4.5_1059	1	1	5	
OG4.5_1060	2	1	3	
OG4.5_1061	6	0	0	
OG4.5_1062	0	3	3	
OG4.5_1063	0	2	4	
OG4.5_1064	1	2	3	
OG4.5_1065	0	3	3	
OG4.5_1066	1	2	3	
OG4.5_1067	0	3	3	
OG4.5_1068	0	3	3	
OG4.5_1069	0	3	3	
OG4.5_1070	1	2	3	
OG4.5_1071	1	2	3	
OG4.5_1072	1	2	3	
OG4.5_1073	1	1	4	
OG4.5_1074	1	1	4	
OG4.5_1075	0	1	5	
OG4.5_1076	1	1	4	
OG4.5_1077	2	1	2	
OG4.5_1078	3	1	1	
OG4.5_1079	2	1	2	
OG4.5_1080	2	1	2	
OG4.5_1081	2	1	2	
OG4.5_1082	0	2	3	
OG4.5_1083	1	2	2	
OG4.5_1084	0	2	3	
OG4.5_1085	0	2	3	
OG4.5_1086	0	2	3	
OG4.5_1087	1	2	2	
OG4.5_1088	0	2	3	
OG4.5_1089	0	2	3	
OG4.5_1090	0	2	3	
OG4.5_1091	1	2	2	
OG4.5_1092	0	2	3	
OG4.5_1093	0	4	1	
OG4.5_1094	0	2	3	
OG4.5_1095	0	4	1	
OG4.5_1096	1	2	2	
OG4.5_1097	1	2	2	
OG4.5_1098	1	1	3	
OG4.5_1099	1	1	3	
OG4.5_1100	1	1	3	
OG4.5_1101	1	1	3	
OG4.5_1102	1	1	3	
OG4.5_1103	1	0	4	
OG4.5_1104	1	0	4	
OG4.5_1105	1	1	3	
OG4.5_1106	1	1	3	
OG4.5_1107	0	1	4	
OG4.5_1108	0	1	4	
OG4.5_1109	0	1	4	
OG4.5_1110	0	1	4	
OG4.5_1111	1	1	3	
OG4.5_1112	3	0	1	
OG4.5_1113	2	1	1	
OG4.5_1114	2	0	2	
OG4.5_1115	3	1	0	
OG4.5_1116	2	1	1	
OG4.5_1117	0	4	0	
OG4.5_1118	0	2	2	
OG4.5_1119	0	2	2	
OG4.5_1120	0	2	2	
OG4.5_1121	0	2	2	
OG4.5_1122	0	3	1	
OG4.5_1123	0	4	0	
OG4.5_1124	0	2	2	
OG4.5_1125	0	2	2	
OG4.5_1126	0	3	1	
OG4.5_1127	1	2	1	
OG4.5_1128	0	2	2	
OG4.5_1129	0	3	1	
OG4.5_1130	0	2	2	
OG4.5_1131	1	2	1	
OG4.5_1132	0	2	2	
OG4.5_1133	0	2	2	
OG4.5_1134	1	2	1	
OG4.5_1135	0	2	2	
OG4.5_1136	1	1	2	
OG4.5_1137	1	1	2	
OG4.5_1138	0	0	4	
OG4.5_1139	1	1	2	
OG4.5_1140	0	1	3	
OG4.5_1141	1	1	2	
OG4.5_1142	1	1	2	
OG4.5_1143	0	0	4	
OG4.5_1144	0	1	3	
OG4.5_1145	1	1	2	
OG4.5_1146	1	1	2	
OG4.5_1147	0	1	3	
OG4.5_1148	0	1	3	
OG4.5_1149	0	1	3	
OG4.5_1150	0	1	3	
OG4.5_1151	1	1	2	
OG4.5_1152	0	1	3	
OG4.5_1153	0	1	3	
OG4.5_1154	0	0	4	
OG4.5_1155	0	1	3	
OG4.5_1156	0	1	3	
OG4.5_1157	0	1	3	
OG4.5_1158	0	1	3	
OG4.5_1159	1	1	2	
OG4.5_1160	0	1	3	
OG4.5_1161	1	1	2	
OG4.5_1162	0	1	3	
OG4.5_1163	0	1	3	
OG4.5_1164	1	0	3	
OG4.5_1165	0	1	3	
OG4.5_1166	1	1	2	
OG4.5_1167	1	0	3	
OG4.5_1168	1	0	3	
OG4.5_1169	0	4	0	
OG4.5_1170	0	4	0	
OG4.5_1171	2	0	1	
OG4.5_1172	3	0	0	
OG4.5_1173	0	2	1	
OG4.5_1174	0	2	1	
OG4.5_1175	0	3	0	
OG4.5_1176	0	2	1	
OG4.5_1177	0	2	1	
OG4.5_1178	0	3	0	
OG4.5_1179	0	2	1	
OG4.5_1180	0	2	1	
OG4.5_1181	0	2	1	
OG4.5_1182	0	2	1	
OG4.5_1183	0	2	1	
OG4.5_1184	0	3	0	
OG4.5_1185	0	2	1	
OG4.5_1186	0	2	1	
OG4.5_1187	0	3	0	
OG4.5_1188	1	2	0	
OG4.5_1189	0	3	0	
OG4.5_1190	0	2	1	
OG4.5_1191	0	2	1	
OG4.5_1192	0	3	0	
OG4.5_1193	0	3	0	
OG4.5_1194	0	2	1	
OG4.5_1195	0	3	0	
OG4.5_1196	0	2	1	
OG4.5_1197	0	2	1	
OG4.5_1198	0	3	0	
OG4.5_1199	0	2	1	
OG4.5_1200	1	2	0	
OG4.5_1201	0	3	0	
OG4.5_1202	0	2	1	
OG4.5_1203	0	0	3	
OG4.5_1204	0	0	3	
OG4.5_1205	0	0	3	
OG4.5_1206	0	1	2	
OG4.5_1207	0	1	2	
OG4.5_1208	0	0	3	
OG4.5_1209	0	0	3	
OG4.5_1210	0	1	2	
OG4.5_1211	0	0	3	
OG4.5_1212	0	0	3	
OG4.5_1213	0	0	3	
OG4.5_1214	0	0	3	
OG4.5_1215	0	0	3	
OG4.5_1216	0	0	3	
OG4.5_1217	0	1	2	
OG4.5_1218	0	0	3	
OG4.5_1219	0	0	3	
OG4.5_1220	0	1	2	
OG4.5_1221	0	1	2	
OG4.5_1222	0	1	2	
OG4.5_1223	0	1	2	
OG4.5_1224	0	1	2	
OG4.5_1225	0	1	2	
OG4.5_1226	0	1	2	
OG4.5_1227	0	1	2	
OG4.5_1228	0	1	2	
OG4.5_1229	0	1	2	
OG4.5_1230	0	1	2	
OG4.5_1231	0	0	3	
OG4.5_1232	0	1	2	
OG4.5_1233	0	1	2	
OG4.5_1234	1	1	1	
OG4.5_1235	0	0	3	
OG4.5_1236	0	1	2	
OG4.5_1237	0	1	2	
OG4.5_1238	0	1	2	
