OG_name	AT_prot	HV_OrthoMCL	TA_OrthoMCL	
OG0.5_1000	1	31	28	
OG0.5_1001	1	12	24	
OG0.5_1002	1	12	9	
OG0.5_1003	1	14	6	
OG0.5_1004	0	12	7	
OG0.5_1005	1	9	9	
OG0.5_1006	1	9	8	
OG0.5_1007	3	5	9	
OG0.5_1008	0	13	4	
OG0.5_1009	3	5	8	
OG0.5_1010	3	12	1	
OG0.5_1011	1	5	9	
OG0.5_1012	0	11	4	
OG0.5_1013	1	5	8	
OG0.5_1014	0	9	4	
OG0.5_1015	1	5	7	
OG0.5_1016	1	5	7	
OG0.5_1017	3	3	6	
OG0.5_1018	0	12	0	
OG0.5_1019	1	6	5	
OG0.5_1020	1	2	9	
OG0.5_1021	3	1	7	
OG0.5_1022	3	5	3	
OG0.5_1023	1	5	5	
OG0.5_1024	1	4	6	
OG0.5_1025	1	6	4	
OG0.5_1026	1	5	5	
OG0.5_1027	1	6	4	
OG0.5_1028	1	6	4	
OG0.5_1029	1	4	6	
OG0.5_1030	1	6	4	
OG0.5_1031	0	11	0	
OG0.5_1032	0	0	11	
OG0.5_1033	0	8	2	
OG0.5_1034	0	0	10	
OG0.5_1035	3	3	3	
OG0.5_1036	1	5	3	
OG0.5_1037	1	5	3	
OG0.5_1038	0	5	4	
OG0.5_1039	1	5	3	
OG0.5_1040	0	6	3	
OG0.5_1041	0	9	0	
OG0.5_1042	1	5	3	
OG0.5_1043	0	0	9	
OG0.5_1044	3	2	3	
OG0.5_1045	2	4	2	
OG0.5_1046	1	4	3	
OG0.5_1047	1	4	3	
OG0.5_1048	0	5	3	
OG0.5_1049	1	4	3	
OG0.5_1050	1	4	3	
OG0.5_1051	1	3	4	
OG0.5_1052	1	4	3	
OG0.5_1053	1	3	4	
OG0.5_1054	1	1	6	
OG0.5_1055	2	4	1	
OG0.5_1056	2	3	2	
OG0.5_1057	2	2	3	
OG0.5_1058	2	2	3	
OG0.5_1059	0	4	3	
OG0.5_1060	1	3	3	
OG0.5_1061	1	3	3	
OG0.5_1062	1	4	2	
OG0.5_1063	1	5	1	
OG0.5_1064	1	3	3	
OG0.5_1065	1	4	2	
OG0.5_1066	0	0	7	
OG0.5_1067	1	1	5	
OG0.5_1068	2	1	4	
OG0.5_1069	1	2	4	
OG0.5_1070	2	1	3	
OG0.5_1071	6	0	0	
OG0.5_1072	2	0	4	
OG0.5_1073	0	3	3	
OG0.5_1074	0	2	4	
OG0.5_1075	1	2	3	
OG0.5_1076	0	3	3	
OG0.5_1077	0	6	0	
OG0.5_1078	1	2	3	
OG0.5_1079	0	3	3	
OG0.5_1080	1	3	2	
OG0.5_1081	0	3	3	
OG0.5_1082	0	3	3	
OG0.5_1083	1	2	3	
OG0.5_1084	1	2	3	
OG0.5_1085	1	2	3	
OG0.5_1086	1	2	3	
OG0.5_1087	1	1	4	
OG0.5_1088	1	1	4	
OG0.5_1089	0	1	5	
OG0.5_1090	1	1	4	
OG0.5_1091	2	1	2	
OG0.5_1092	3	1	1	
OG0.5_1093	2	1	2	
OG0.5_1094	2	1	2	
OG0.5_1095	2	1	2	
OG0.5_1096	2	1	2	
OG0.5_1097	0	2	3	
OG0.5_1098	1	2	2	
OG0.5_1099	0	2	3	
OG0.5_1100	0	2	3	
OG0.5_1101	0	2	3	
OG0.5_1102	1	2	2	
OG0.5_1103	0	2	3	
OG0.5_1104	1	2	2	
OG0.5_1105	0	2	3	
OG0.5_1106	0	2	3	
OG0.5_1107	1	2	2	
OG0.5_1108	1	2	2	
OG0.5_1109	1	1	3	
OG0.5_1110	1	1	3	
OG0.5_1111	1	1	3	
OG0.5_1112	1	1	3	
OG0.5_1113	1	1	3	
OG0.5_1114	1	0	4	
OG0.5_1115	1	1	3	
OG0.5_1116	1	1	3	
OG0.5_1117	0	1	4	
OG0.5_1118	0	1	4	
OG0.5_1119	0	1	4	
OG0.5_1120	1	1	3	
OG0.5_1121	2	1	1	
OG0.5_1122	3	0	1	
OG0.5_1123	2	1	1	
OG0.5_1124	2	1	1	
OG0.5_1125	0	4	0	
OG0.5_1126	0	2	2	
OG0.5_1127	0	2	2	
OG0.5_1128	0	2	2	
OG0.5_1129	0	2	2	
OG0.5_1130	0	3	1	
OG0.5_1131	0	2	2	
OG0.5_1132	0	2	2	
OG0.5_1133	0	3	1	
OG0.5_1134	1	2	1	
OG0.5_1135	0	2	2	
OG0.5_1136	0	3	1	
OG0.5_1137	0	2	2	
OG0.5_1138	0	2	2	
OG0.5_1139	0	2	2	
OG0.5_1140	1	2	1	
OG0.5_1141	0	2	2	
OG0.5_1142	1	1	2	
OG0.5_1143	1	1	2	
OG0.5_1144	1	1	2	
OG0.5_1145	0	1	3	
OG0.5_1146	1	1	2	
OG0.5_1147	1	1	2	
OG0.5_1148	0	0	4	
OG0.5_1149	0	1	3	
OG0.5_1150	1	1	2	
OG0.5_1151	0	1	3	
OG0.5_1152	0	1	3	
OG0.5_1153	0	1	3	
OG0.5_1154	1	1	2	
OG0.5_1155	0	1	3	
OG0.5_1156	0	1	3	
OG0.5_1157	0	0	4	
OG0.5_1158	0	1	3	
OG0.5_1159	0	1	3	
OG0.5_1160	1	1	2	
OG0.5_1161	0	1	3	
OG0.5_1162	1	1	2	
OG0.5_1163	0	1	3	
OG0.5_1164	1	0	3	
OG0.5_1165	0	1	3	
OG0.5_1166	0	0	4	
OG0.5_1167	1	1	2	
OG0.5_1168	1	0	3	
OG0.5_1169	1	0	3	
OG0.5_1170	0	4	0	
OG0.5_1171	0	4	0	
OG0.5_1172	1	1	2	
OG0.5_1173	2	0	1	
OG0.5_1174	0	2	1	
OG0.5_1175	0	2	1	
OG0.5_1176	0	3	0	
OG0.5_1177	0	2	1	
OG0.5_1178	0	2	1	
OG0.5_1179	0	3	0	
OG0.5_1180	0	2	1	
OG0.5_1181	0	2	1	
OG0.5_1182	0	2	1	
OG0.5_1183	0	2	1	
OG0.5_1184	0	2	1	
OG0.5_1185	0	2	1	
OG0.5_1186	0	2	1	
OG0.5_1187	0	3	0	
OG0.5_1188	0	3	0	
OG0.5_1189	0	2	1	
OG0.5_1190	0	2	1	
OG0.5_1191	0	3	0	
OG0.5_1192	0	3	0	
OG0.5_1193	0	2	1	
OG0.5_1194	0	3	0	
OG0.5_1195	0	2	1	
OG0.5_1196	0	2	1	
OG0.5_1197	0	3	0	
OG0.5_1198	0	2	1	
OG0.5_1199	0	3	0	
OG0.5_1200	0	2	1	
OG0.5_1201	0	0	3	
OG0.5_1202	0	0	3	
OG0.5_1203	0	0	3	
OG0.5_1204	0	1	2	
OG0.5_1205	0	0	3	
OG0.5_1206	0	1	2	
OG0.5_1207	0	0	3	
OG0.5_1208	0	0	3	
OG0.5_1209	0	0	3	
OG0.5_1210	0	0	3	
OG0.5_1211	0	1	2	
OG0.5_1212	0	0	3	
OG0.5_1213	0	1	2	
OG0.5_1214	0	1	2	
OG0.5_1215	0	1	2	
OG0.5_1216	0	1	2	
