# BEAST v1.8.2, r6687
# Generated Sat Apr 30 12:13:15 CDT 2022 [seed=1651338794855]
state	posterior	prior	likelihood	treeModel.rootHeight	constant.popSize	clock.rate	treeLikelihood	coalescent
13000	-3218.5501370155016	-23.859964959717033	-3194.6901720557844	10.572553429873524	3.88686854849655	1.0	-3194.6901720557844	-22.50236112665997
14000	-3223.974958985348	-22.881946766319317	-3201.093012219029	4.312862928921937	2.0073383499642077	1.0	-3201.093012219029	-22.18513712577913
15000	-3220.2216038371416	-21.397931810525893	-3198.823672026616	5.989034215781369	2.457456223646223	1.0	-3198.823672026616	-20.49880505101415
16000	-3214.7412806004013	-22.30802535536064	-3192.4332552450405	3.299058116080528	4.394142224574593	1.0	-3192.4332552450405	-20.82775301401705
17000	-3214.6625810474166	-20.680072355805077	-3193.9825086916117	4.205822468494282	1.864844287839181	1.0	-3193.9825086916117	-20.05689479797017
18000	-3213.3060484805033	-19.864950448851943	-3193.441098031651	3.3384518596881008	2.4997632686581923	1.0	-3193.441098031651	-18.94875441399813
19000	-3221.3906792554385	-22.51013474548838	-3198.88054450995	6.846963081309203	2.728301247301954	1.0	-3198.88054450995	-21.506455583707265
20000	-3217.005048906337	-22.395443050268995	-3194.609605856068	6.481215727120107	4.115841298620566	1.0	-3194.609605856068	-20.98059979022699
21000	-3220.2522095408594	-21.98489664108993	-3198.2673128997694	3.741463599620362	2.8487227568751754	1.0	-3198.2673128997694	-20.938025902743444
22000	-3225.4613140595143	-26.99352016703589	-3198.4677938924783	17.435912537681833	3.520414580087982	1.0	-3198.4677938924783	-25.734941405927135
23000	-3218.887733709587	-22.056875804285724	-3196.830857905301	6.253604187322773	2.4865186596161593	1.0	-3196.830857905301	-21.145992200771165
24000	-3222.4368231269214	-23.105444438601282	-3199.33137868832	10.122937382057328	2.4468502070784863	1.0	-3199.33137868832	-22.210642870939473
25000	-3219.9024100028896	-26.488911604891264	-3193.4134983979984	17.627243588447712	3.0887663400584313	1.0	-3193.4134983979984	-25.361139836399733
