# BEAST v1.8.2, r6687
# Generated Sat Apr 30 11:36:40 CDT 2022 [seed=1651336600336]
state	posterior	prior	likelihood	treeModel.rootHeight	constant.popSize	clock.rate	treeLikelihood	coalescent
44000	-2078.8570512477695	0.7361491779960962	-2079.5932004257656	0.7218916875022445	0.47331725199432423	1.0	-2079.5932004257656	-0.01184021429587434
45000	-2080.369498103523	1.023006298383573	-2081.3925044019065	0.638820527121598	0.16252959667557532	1.0	-2081.3925044019065	-0.7938888620248878
46000	-2077.9969746212746	1.478957162627221	-2079.4759317839016	0.6885728751220401	0.304191581236136	1.0	-2079.4759317839016	0.28885958799242895
47000	-2078.0113306198336	1.919839873310124	-2079.931170493144	0.7103441253333723	0.2772367862589083	1.0	-2079.931170493144	0.6369565594007167
48000	-2075.656133399329	2.805638756884762	-2078.461772156214	0.6341176638651361	0.30301004775729434	1.0	-2078.461772156214	1.6116494437773463
49000	-2082.863075119588	0.26181558957623463	-2083.124890709164	0.8359728021395678	0.40230584738361724	1.0	-2083.124890709164	-0.6487270756723271
50000	-2076.6790190096285	2.119729185007386	-2078.798748194636	0.6743038865447255	0.33079595047346316	1.0	-2078.798748194636	1.0134756274839642
51000	-2080.425392791242	2.4435859637565107	-2082.8689787549984	0.6670021860805713	0.28354827649536446	1.0	-2082.8689787549984	1.1832130809065196
52000	-2079.5866079306556	0.983458828357968	-2080.5700667590136	0.7378709814379039	0.42213659255831093	1.0	-2080.5700667590136	0.12103249008721084
53000	-2076.3801481219925	1.3703659672136177	-2077.7505140892063	0.7325487061313459	0.41589525131394134	1.0	-2077.7505140892063	0.4930441170597676
54000	-2077.674345900859	2.0872301363549903	-2079.761576037214	0.6447646525454548	0.3089770933374377	1.0	-2079.761576037214	0.9127419999286634
55000	-2084.36976637189	1.0943650800901348	-2085.46413145198	0.7395162911706455	0.3042232656035925	1.0	-2085.46413145198	-0.09562834071721626
56000	-2081.1932263569515	0.7891054814833851	-2081.982331838435	0.6484677123302032	0.4914128989308382	1.0	-2081.982331838435	0.07863491159432379
57000	-2077.017463333227	1.6877739980500328	-2078.705237331277	0.6662225049064517	0.38234439308831675	1.0	-2078.705237331277	0.7263404741072487
58000	-2081.7779260847356	0.5461316671276866	-2082.324057751863	0.7407256119263621	0.5399797806766854	1.0	-2082.324057751863	-0.07009191618846755
59000	-2077.1885689575724	1.5216775070424733	-2078.710246464615	0.650560928183706	0.4360031296190589	1.0	-2078.710246464615	0.691571649408973
60000	-2078.0216094671473	1.247478953559514	-2079.269088420707	0.6500532891270682	0.1821644390903551	1.0	-2079.269088420707	-0.4553665347811733
61000	-2076.4858595303094	2.1258064341593093	-2078.6116659644686	0.7133018374916446	0.3517477594534732	1.0	-2078.6116659644686	1.0809654814384433
62000	-2078.2443223702635	2.1549308488589842	-2080.3992532191223	0.6703540795484194	0.3020488084163726	1.0	-2080.3992532191223	0.957764191465809
63000	-2078.97574228552	2.4824953425032383	-2081.458237628023	0.7013729247047441	0.25706121956946737	1.0	-2081.458237628023	1.124054328490702
64000	-2079.7065910512233	0.8192773416033803	-2080.525868392827	0.7128598305547577	0.16143820679775708	1.0	-2080.525868392827	-1.0043554883812504
65000	-2078.8485098299416	1.7377111453818859	-2080.5862209753236	0.6623622602973755	0.3494690286458459	1.0	-2080.5862209753236	0.6863708079691311
66000	-2082.5279239811243	0.7936829554751939	-2083.3216069365994	0.7825496500348698	0.4066734688909659	1.0	-2083.3216069365994	-0.10606174780657807
67000	-2077.708731064125	0.7805923296493917	-2078.4893233937746	0.6284691852997772	0.20215019861845462	1.0	-2078.4893233937746	-0.8181519707163734
68000	-2078.0946773233927	1.4815578197763266	-2079.576235143169	0.6926673282314402	0.33782062507008015	1.0	-2079.576235143169	0.3963176003498101
69000	-2078.0876299190772	1.6669012030820296	-2079.7545311221593	0.7377230954692504	0.3225386405677069	1.0	-2079.7545311221593	0.5353688688722102
70000	-2078.162826378402	1.9464281827571295	-2080.109254561159	0.6769781897236485	0.23223270593848422	1.0	-2080.109254561159	0.4864128155682612
71000	-2077.07315037205	1.9759400566624004	-2079.049090428712	0.6290129599047494	0.2206353564424914	1.0	-2079.049090428712	0.4646961456485097
72000	-2080.372447986741	0.5101497655403148	-2080.8825977522815	0.6097033303740806	0.5720890038933948	1.0	-2080.8825977522815	-0.04831093295440869
73000	-2078.3015464520413	0.32006350840119113	-2078.6216099604426	0.6640981901811841	0.5679257925684693	1.0	-2078.6216099604426	-0.24570100728134014
74000	-2077.223361384067	1.7748124951289102	-2078.998173879196	0.6767825853441338	0.41759047764493634	1.0	-2078.998173879196	0.9015584498808332
75000	-2078.4068182175743	1.4068511414902287	-2079.8136693590645	0.7150522931719993	0.2151660013995091	1.0	-2079.8136693590645	-0.1294943077471522
76000	-2080.683009225852	2.6079093813385983	-2083.2909186071906	0.5806523387812133	0.23118546270290627	1.0	-2083.2909186071906	1.14337435959522
77000	-2077.7433488039997	1.4664950854595855	-2079.209843889459	0.7233224453681673	0.23349826672269913	1.0	-2079.209843889459	0.011914460529723891
78000	-2079.1203396358387	1.7505035341879331	-2080.8708431700265	0.7107757722146845	0.37935413439876153	1.0	-2080.8708431700265	0.78121841556964
79000	-2080.0714995599897	2.2971662725375572	-2082.3686658325273	0.6449801467944966	0.23314772594111086	1.0	-2082.3686658325273	0.8410832631319487
80000	-2079.8138561428327	1.680046407403002	-2081.493902550236	0.6674881402412979	0.3564166830032954	1.0	-2081.493902550236	0.648391632695532
81000	-2088.73542149256	-1.3095611493790162	-2087.425860343181	0.6622120987050613	0.7677052160559081	1.0	-2087.425860343181	-1.5739106021568585
82000	-2079.420381909369	1.8571500754115036	-2081.2775319847806	0.7246334823298446	0.30762714068141106	1.0	-2081.2775319847806	0.6782832638531842
83000	-2081.055013162457	0.13949129554829043	-2081.194504458005	0.6273497508859995	0.6124249354032402	1.0	-2081.194504458005	-0.3508376029690636
84000	-2079.9975187159307	-0.19856884826341353	-2079.7989498676675	0.6244634581688253	0.6505458218682388	1.0	-2079.7989498676675	-0.6285123907773171
85000	-2079.297427329197	1.983858956701845	-2081.2812862858987	0.6100033578386387	0.3108156945069259	1.0	-2081.2812862858987	0.8153037920647945
86000	-2078.8431044332274	0.8548414141992948	-2079.6979458474266	0.7459046450733585	0.23021450935377694	1.0	-2079.6979458474266	-0.6139023411425897
87000	-2076.366451694766	2.2244336995326544	-2078.5908853942988	0.7431409105624742	0.2550902472811084	1.0	-2078.5908853942988	0.8582958140035584
88000	-2079.283524784054	1.3913352765514415	-2080.674860060605	0.7019834852558513	0.34454522383740405	1.0	-2080.674860060605	0.3258053532459796
89000	-2077.6956237295262	2.7851979035488483	-2080.4808216330753	0.5889128315887342	0.3568956463910118	1.0	-2080.4808216330753	1.754886056588346
90000	-2077.143900217652	2.6389117713523405	-2079.7828119890046	0.6226263630101818	0.3501446115552819	1.0	-2079.7828119890046	1.5895027373922508
91000	-2080.382051109185	0.7669481028177638	-2081.1489992120028	0.7701567712103844	0.3990987400158896	1.0	-2081.1489992120028	-0.15159832117833782
92000	-2086.5051746981544	1.8604275750699595	-2088.3656022732243	0.6302723613019774	0.4748598320425931	1.0	-2088.3656022732243	1.1156919661380673
93000	-2078.2954994755523	2.7058536235683017	-2081.0013530991205	0.5687454292033488	0.25724721483320895	1.0	-2081.0013530991205	1.3481358925486493
94000	-2079.971844326704	0.20767061619774851	-2080.1795149429017	0.6763699329044031	0.574078543911147	1.0	-2080.1795149429017	-0.3473184397438872
95000	-2076.0237501104903	2.4724233117543086	-2078.4961734222447	0.6729880150003491	0.32217129811125905	1.0	-2078.4961734222447	1.3397514185764583
96000	-2080.53341736763	3.0610653882065724	-2083.594482755837	0.5740372071065302	0.23352980504862442	1.0	-2083.594482755837	1.6066198229353459
97000	-2076.9049138699907	2.362403587011421	-2079.2673174570023	0.7020032082836973	0.27216205134235677	1.0	-2079.2673174570023	1.0610459739145854
98000	-2081.413109271611	1.9193774844605727	-2083.332486756072	0.7135960270668962	0.24104781960668734	1.0	-2083.332486756072	0.4966175408906395
99000	-2078.2901101885273	2.492862368975014	-2080.7829725575025	0.7720436726130239	0.270206072695678	1.0	-2080.7829725575025	1.184291990083881
100000	-2076.258304124802	2.2543798216193816	-2078.5126839464215	0.6739400468225417	0.3508422218521743	1.0	-2078.5126839464215	1.2069611546503616
101000	-2081.7244682976757	1.3006010725696204	-2083.025069370245	0.7274917595411118	0.37900470461323355	1.0	-2083.025069370245	0.3303944118203953
102000	-2080.5621609291693	-0.36543965760083535	-2080.1967212715685	0.7314986854890216	0.6305413129882748	1.0	-2080.1967212715685	-0.8266162591560564
103000	-2082.3682025442545	-0.9035527144717319	-2081.464649829783	0.6880625514652088	0.16829779732223674	1.0	-2081.464649829783	-2.6855729801488346
